ID,Supplier,Brand,Product,UPC
859967,UNFI,SunRidge Farms™,Aussie Style Black Licorice,86700014028
1246024,UNFI,SunRidge Farms™,Aussie Style Black Licorice,86700014028
859942,UNFI,SunRidge Farms™,Cherry Pecan Vanilla Dream™,86700074053
859843,UNFI,SunRidge Farms™,Cocoa Energy Nuggets™,86700211168
859785,UNFI,SunRidge Farms™,Dark Chocolate Almond Clusters,86700911204
805101,UNFI,Deep Sea™,Tuna No Salt added,95684888846
297820,UNFI,Divina,Mount Athos Green Olives,631723302708
2103075,UNFI,GrandyOats,Turmeric Ginger Cashews,648960001059
313080,UNFI,GrandyOats,Curry Roasted Cashews,648960102091
648816,UNFI,Nutiva®,Unrefined Virgin Coconut Oil,692752200038
223453,UNFI,ZOE®,Extra Virgin Olive Oil,708271806191
1169705,UNFI,Napa Valley Naturals®,Canola Oil (Expeller Pressed),786969100080
880955,UNFI,Napa Valley Naturals®,Grapeseed Oil,786969100097
913996,UNFI,Napa Valley Naturals®,Extra Virgin Olive Oil,786969100103
1169515,UNFI,Napa Valley Naturals®,Sunflower Oil (Expeller Pressed),786969100110
880930,UNFI,Napa Valley Naturals®,Sesame Oil (Cold Pressed),786969100127
1169655,UNFI,Napa Valley Naturals®,Toasted Sesame Oil (Expeller Pressed),786969100134
1169549,UNFI,Napa Valley Naturals®,Canola Oil (Expeller Pressed),786969100202
1169630,UNFI,Napa Valley Naturals®,Extra Virgin Olive Oil,786969100240
1380039,UNFI,Napa Valley Naturals®,Rice Bran Oil,786969100257
1865989,UNFI,Lehi Valley,Sour Patch Kids (Assorted),952480223656
